80	1	9.5713		3.7300	
80	2	9.4514		4.3123	
80	3	8.6343		4.8746	
80	4	8.4588		5.3460	
80	5	5.8391		3.7303	
80	6	11.3792		3.7947	
80	7	10.2833		2.9236	
80	8	5.7059		7.2724	
80	9	12.0992		3.3143	
90	1	9.0936		3.5949	
90	2	8.9462		4.1880	
90	3	8.2178		4.9193	
90	4	8.0318		5.3963	
90	5	5.4519		3.6587	
90	6	11.7532		4.1128	
90	7	10.8339		2.8601	
90	8	5.8697		7.2858	
90	9	11.6520		3.3641	
100	1	8.5714		3.4534	
100	2	8.4241		4.0379	
100	3	7.8013		4.9641	
100	4	7.6018		5.4522	
100	5	5.0646		3.5871	
100	6	12.1274		4.4312	
100	7	11.3895		2.8028	
100	8	6.0334		7.2989	
100	9	11.2218		3.3315	
110	1	8.0490		3.3121	
110	2	7.9017		3.8875	
110	3	7.3846		5.0088	
110	4	7.1720		5.5080	
110	5	4.6774		3.5155	
110	6	12.4490		4.7792	
110	7	11.9193		2.7685	
110	8	6.1351		7.3328	
110	9	10.8086		3.2167	
120	1	7.5193		3.2362	
120	2	7.3835		3.8071	
120	3	6.9721		5.0379	
120	4	6.7420		5.5639	
120	5	4.2901		3.4439	
120	6	12.7647		5.1305	
120	7	12.4105		2.7685	
120	8	6.2102		7.3755	
120	9	10.3955		3.1016	
120	10	0.3447		6.9829	
130	1	6.9860		3.1885	
130	2	6.8668		3.7563	
130	3	6.5650		5.0431	
130	4	6.3209		5.6164	
130	5	3.9189		3.3885	
130	6	13.0804		5.4818	
130	7	12.9015		2.7685	
130	8	6.2853		7.4180	
130	9	9.8750		3.0176	
130	10	0.6350		6.8841	
140	1	6.4529		3.1408	
140	2	6.3504		3.7057	
140	3	6.1582		5.0484	
140	4	5.9351		5.6562	
140	5	3.5495		3.3348	
140	6	13.3330		5.8751	
140	7	13.4188		2.8393	
140	8	6.2794		7.4684	
140	9	9.3278		2.9412	
140	10	0.9254		6.7853	
150	1	5.9099		3.1097	
150	2	5.8421		3.6754	
150	3	5.7514		5.0539	
150	4	5.5493		5.6961	
150	5	3.1801		3.2813	
150	6	13.4382		6.3655	
150	7	13.9755		3.0164	
150	8	6.2643		7.5195	
150	9	8.8107		2.9011	
150	10	1.2554		6.6894	
160	1	5.3627		3.0859	
160	2	5.3464		3.6754	
160	3	5.3443		5.0591	
160	4	5.1633		5.7357	
160	5	2.8108		3.2276	
160	6	13.5415		6.8319	
160	7	14.5322		3.1935	
160	8	6.2270		7.5636	
160	9	8.3635		2.9460	
160	10	1.7443		6.6051	
170	1	4.8154		3.0620	
170	2	4.8508		3.6754	
170	3	4.9628		5.0739	
170	4	4.7776		5.7756	
170	5	2.4414		3.1742	
170	6	13.6428		7.2739	
170	7	15.0891		3.3706	
170	8	5.9896		7.5452	
170	9	7.9162		2.9906	
170	10	2.2335		6.5211	
180	1	4.3034		2.9852	
180	2	4.3461		3.6548	
180	3	4.5839		5.0899	
180	4	4.4029		5.8209	
180	5	2.1009		3.1742	
180	6	13.7442		7.7159	
180	8	5.7522		7.5269	
180	9	7.4660		3.0284	
180	10	2.7224		6.4369	
190	1	3.8065		2.8859	
190	2	3.8199		3.5868	
190	3	4.2051		5.1056	
190	4	4.0451		5.8746	
190	5	1.7605		3.1742	
190	6	13.7554		8.1395	
190	8	5.5148		7.5087	
190	9	6.9910		3.0009	
190	10	3.2071		6.3734	
200	1	3.3096		2.7864	
200	2	3.2938		3.5186	
200	3	3.8263		5.1216	
200	4	3.6873		5.9283	
200	5	1.4200		3.1742	
200	6	13.7440		8.5588	
200	8	5.2863		7.5006	
200	9	6.5160		2.9737	
200	10	3.6905		6.3154	
200	11	0.4735		7.3030	
210	1	2.8164		2.6904	
210	2	2.7931		3.4613	
210	3	3.4441		5.1636	
210	4	3.3296		5.9820	
210	5	1.0795		3.1742	
210	6	13.7326		8.9781	
210	8	5.0933		7.5338	
210	9	6.0410		2.9465	
210	10	4.1739		6.2574	
210	11	0.9997		7.0643	
220	1	2.3581		2.6265	
220	2	2.3179		3.4152	
220	3	3.0566		5.2450	
220	4	2.9962		6.0381	
220	5	0.7392		3.1742	
220	6	13.7209		9.3946	
220	8	4.9003		7.5669	
220	9	5.5710		2.9587	
